"","priority","view","feature"
"1","1","industrial","industrial"
"2","2","commercial","commercial"
"3","3","institutional","institutional"
"4","4","residential","residential"
"5","5","railway_landuse","landuse_rail"
"6","6","open_green","open_green_area"
"7","7","protected_area","protected_area"
"8","8","resourceful_green","resourceful_green_area"
"9","9","hetero_green","hetero_green_area"
"10","10","bare_soil","bare_soil"
"11","11","dense_green","dense_green_area"
"12","12","water","water"
"13","12","waterways_bf","waterways"
"14","13","parking_surface","parking_surface"
"15","14","buildings","building"
"16","15","lf_roads_very_high_traffic_bf","linear_feature_vh_traffic"
"17","16","lf_roads_no_traffic_bf_sidewalks","linear_feature_no_traffic_side"
"18","17","lf_roads_unclassified_bf","linear_feature_na_traffic"
"19","18","lf_roads_very_low_traffic_bf","linear_feature_vl_traffic"
"20","19","lf_roads_low_traffic_bf","linear_feature_l_traffic"
"21","20","lf_roads_medium_traffic_bf","linear_feature_m_traffic"
"22","21","lf_roads_high_traffic_ls_bf","linear_feature_h_traffic_ls"
"23","22","lf_roads_high_traffic_hs_bf","linear_feature_h_traffic_hs"
"24","23","lf_rails_bf_trams","linear_feature_rail_trams"
"25","24","lf_roads_no_traffic_bf","linear_feature_no_traffic"
"26","25","lf_rails_bf","linear_feature_rail"
"27","26","lf_rails_bf_abandoned","linear_feature_rail_abandoned"
"28","27","barrier_bf","barrier"
